en_fa,fr_fa,mode,sent,trans,trans_MBart,trans_NLLB,trans_ALIGN,POSent,BLEU_MBart,BLEU_NLLB,BLEU_ALIGN,Levenshtein_MBart,Levenshtein_NLLB,Levenshtein_ALIGN
Commerical,Commercial,EnFr,The commercial for the new product is very catchy.,La publicité pour le nouveau produit est très accrocheuse.,La commercialisation du nouveau produit est très attrayante.,La publicité pour le nouveau produit est très accrocheuse.,La publicité pour le nouveau produit est très accrocheuse.,start,0.3226013518927286,1.0,1.0,0.4166666666666667,0.0,0.0
Con,Con,EnFr,The con artist was finally caught by the police.,L'escroc a finalement été arrêté par la police.,L'artiste trompeur a finalement été capturé par la police.,L'escroc a finalement été attrapé par la police.,L'escroc a finalement été pris par la police.,start,6.784827072174911e-78,0.5,0.5,0.3103448275862069,0.0833333333333333,0.1063829787234042
Current,Courant,EnFr,The current situation is quite complicated.,La situation actuelle est assez complexe.,La situation actuelle est assez compliquée.,La situation actuelle est assez compliquée.,La situation actuelle est assez compliquée.,mid,0.7598356856515925,0.7598356856515925,0.7598356856515925,0.0930232558139534,0.0930232558139534,0.0930232558139534
Cry,Crier,EnFr,She began to cry when she heard the news.,Elle s'est mise à pleurer en apprenant la nouvelle.,Elle a commencé à pleurer lorsqu'elle a entendu les nouvelles.,Elle a commencé à pleurer quand elle a entendu la nouvelle.,Elle a commencé à pleurer quand elle a entendu les nouvelles.,mid,6.373704167435469e-155,8.190757052088229e-155,6.061838450024688e-155,0.4838709677419355,0.423728813559322,0.4590163934426229
Demand,Demander,EnFr,The workers demand better working conditions.,Les travailleurs exigent de meilleures conditions de travail.,Les travailleurs demandent de meilleures conditions de travail.,Les travailleurs exigent de meilleures conditions de travail.,Les travailleurs exigent de meilleures conditions de travail.,mid,0.5946035575013605,1.0,1.0,0.0793650793650793,0.0,0.0
Dispose,Disposer,EnFr,Please dispose of your trash properly.,Veuillez jeter vos déchets de manière appropriée.,Veuillez débarrasser correctement votre ordure.,"S'il vous plaît, jetez vos ordures correctement.","S'il vous plaît, jetez vos ordures correctement.",mid,8.166726842395623e-232,1.1200407237786665e-231,1.1200407237786665e-231,0.6122448979591837,0.8163265306122449,0.8163265306122449
Deliver,Délivrer,EnFr,They will deliver the package tomorrow.,Ils livreront le colis demain.,Ils livreront le paquet demain.,Ils livreront le colis demain.,Ils livreront le paquet demain.,mid,7.380245217279165e-78,1.0,7.380245217279165e-78,0.1935483870967742,0.0,0.1935483870967742
Deranged,Déranger,EnFr,The old man seemed deranged.,Le vieil homme semblait fou.,L'ancien homme semblait dérangé.,Le vieil homme semblait dérangé.,Le vieil homme semblait dérangé.,end,7.422680762211792e-155,0.668740304976422,0.668740304976422,0.40625,0.21875,0.21875
Engaged,Engagé,EnFr,They are to be engaged next summer.,Ils se fianceront l'été prochain.,Ils seront engagés l'été prochain.,Ils sont fiancés l'été prochain.,Ils seront fiancés l'été prochain.,end,9.283142785759642e-155,9.283142785759642e-155,9.283142785759642e-155,0.3529411764705882,0.2424242424242424,0.2647058823529412
Evidence,Evidence,EnFr,The evidence was crucial to the case.,Les preuves étaient cruciales pour l'affaire.,Les éléments de preuve étaient essentiels à l'affaire.,Les preuves étaient cruciales pour l'affaire.,La preuve était cruciale pour l'affaire.,mid,1.4256605770826504e-231,1.0,7.57965434483665e-155,0.4629629629629629,0.0,0.1333333333333333
Flesh,Flèche,EnFr,The knife cuts through the flesh easily.,Le couteau coupe facilement la chair.,Le couteau coupe facilement la viande.,Le couteau coupe facilement la chair.,Le couteau coupe facilement la chair.,end,0.7598356856515925,1.0,1.0,0.131578947368421,0.0,0.0
Gentle,Gentil,EnFr,He is very gentle with the children.,Il est très doux avec les enfants.,Il est très gentil avec les enfants.,Il est très doux avec les enfants.,Il est très doux avec les enfants.,mid,8.4448432644281885e-78,1.0,1.0,0.1666666666666666,0.0,0.0
Gratuity,Gratuité,EnFr,The waiter received a generous gratuity.,Le serveur a reçu un généreux pourboire.,Le waiter a reçu une généreuse gratuité.,Le serveur a reçu une généreuse prime.,Le serveur a reçu une généreuse gratification.,end,7.711523862191631e-155,0.4111336169005197,0.4111336169005197,0.4,0.2,0.3260869565217391
Gross,Gros,EnFr,The movie had some gross scenes.,Le film comportait quelques scènes choquantes.,Le film a quelques scènes brutes.,Le film avait des scènes dégoûtantes.,Le film avait des scènes dégueulasses.,end,1.0719249972567852e-154,8.38826642100846e-155,8.38826642100846e-155,0.3260869565217391,0.391304347826087,0.4565217391304347
Hazard,Hasard,EnFr,Working in the mines is a hazard.,Le travail dans les mines est un risque.,Le travail dans les mines est un danger.,Travailler dans les mines est dangereux.,Travailler dans les mines est un danger.,end,0.8408964152537145,0.3640930239806872,0.5329462628216854,0.15,0.375,0.325
Jolly,Joli,EnFr,"He is a jolly fellow, always laughing.","C'est un joyeux luron, toujours en train de rire.","Il est un ami joli, toujours riant.","C'est un gars joyeux, toujours en train de rire.","C'est un homme joyeux, toujours en train de rire.",mid,1.0009379942300745e-231,0.5133450480401704,0.5133450480401704,0.5714285714285714,0.2244897959183673,0.2244897959183673
Journey,Journée,EnFr,The journey to the mountains was long but beautiful.,Le voyage vers les montagnes a été long mais magnifique.,Le voyage vers les montagnes était long mais beau.,Le voyage vers les montagnes était long mais beau.,Le voyage vers les montagnes était long mais beau.,start,0.4593613320783059,0.4593613320783059,0.4593613320783059,0.25,0.25,0.25
Lecture,Lecture,EnFr,The professor's lecture was very informative.,Le cours du professeur était très instructif.,La conférence du professeur a été très informative.,La conférence du professeur était très instructive.,La conférence du professeur était très instructive.,mid,7.176381577237209e-155,0.4111336169005197,0.4111336169005197,0.3725490196078431,0.196078431372549,0.196078431372549
Library,Librairie,EnFr,She spends hours reading in the library.,Elle passe des heures à lire dans la bibliothèque.,Elle passe des heures à lire dans la bibliothèque.,Elle passe des heures à lire à la bibliothèque.,Elle passe des heures à lire à la bibliothèque.,end,1.0,0.6606328636027614,0.6606328636027614,0.0,0.08,0.08
Licence,Licence,EnFr,You need a driving licence to rent a car.,Le permis de conduire est nécessaire pour louer une voiture.,Vous avez besoin d'un permis de conduire pour louer une voiture.,Il faut un permis de conduire pour louer une voiture.,Vous avez besoin d'un permis de conduire pour louer une voiture.,mid,0.3393251340793363,0.3799178428257962,0.3393251340793363,0.453125,0.4166666666666667,0.453125
Location,Location,EnFr,The location of the event is still undecided.,Le lieu de l'événement n'a pas encore été fixé.,L'emplacement de l'événement n'est pas encore déterminé.,Le lieu de l'événement n'est pas encore déterminé.,L'emplacement de l'événement n'est toujours pas déterminé.,start,7.405395403197815e-155,0.3628241434631103,5.79503507744524e-155,0.3035714285714285,0.16,0.5
Magazine,Magasin,EnFr,She subscribes to a fashion magazine.,Elle est abonnée à un magazine de mode.,Elle adhère à une revue de mode.,Elle est abonnée à un magazine de mode.,Elle est abonnée à un magazine de mode.,end,7.183445846156676e-155,1.0,1.0,0.4358974358974359,0.0,0.0
Mercy,Merci,EnFr,He showed mercy to his enemies.,Il a fait preuve de pitié envers ses ennemis.,Il a montré la grâce à ses ennemis.,Il a fait preuve de miséricorde envers ses ennemis.,Il a fait miséricorde à ses ennemis.,mid,8.093025251555984e-155,0.5969491792019646,4.744822399347669e-78,0.4888888888888889,0.1764705882352941,0.4444444444444444
Money,Monnaie,EnFr,He saved enough money to buy a new car.,Il a économisé suffisamment d'argent pour acheter une nouvelle voiture.,Il a économisé suffisamment d'argent pour acheter une nouvelle voiture.,Il a économisé assez d'argent pour acheter une nouvelle voiture.,Il a économisé assez d'argent pour acheter une nouvelle voiture.,mid,1.0,0.6580370064762462,0.6580370064762462,0.0,0.1408450704225352,0.1408450704225352
Medicine,Médecin,EnFr,He needs to take this medicine once a day.,Il doit prendre ce médicament une fois par jour.,Il doit prendre ce médicament une fois par jour.,Il doit prendre ce médicament une fois par jour.,Il doit prendre ce médicament une fois par jour.,end,1.0,1.0,1.0,0.0,0.0,0.0
Notice,Notice,EnFr,Did you notice the new painting in the hallway?,Avez-vous remarqué la nouvelle peinture dans le couloir?,Avez-vous remarqué le nouveau tableau dans le hall?,Avez-vous remarqué le nouveau tableau dans le couloir ?,Avez-vous remarqué le nouveau tableau dans le couloir ?,mid,9.170599044431423e-155,8.612150057732663e-155,8.612150057732663e-155,0.3214285714285714,0.2321428571428571,0.2321428571428571
Novel,Nouvelle,EnFr,She is writing her first novel.,Elle écrit actuellement son premier roman.,Elle rédige son premier roman.,Elle écrit son premier roman.,Elle écrit son premier roman.,end,6.0424337246431435e-78,7.070696784820904e-78,7.070696784820904e-78,0.3809523809523809,0.3095238095238095,0.3095238095238095
Pain,Pain,EnFr,She felt a sharp pain in her leg.,Elle a ressenti une vive douleur à la jambe.,Elle a ressenti une douleur aiguë dans sa jambe.,Elle ressentit une douleur aiguë dans sa jambe.,Elle a senti une douleur aiguë dans sa jambe.,mid,0.3303164318013807,1.3519605352440902e-231,7.657404561915943e-155,0.3333333333333333,0.4042553191489361,0.4222222222222222
Pass,Passer,EnFr,You need to pass the exam.,Vous devez réussir l'examen.,Vous devez réussir l'examen.,Tu dois passer l'examen.,Vous devez réussir l'examen.,end,1.0,1.2882297539194156e-231,1.0,0.0,0.3928571428571428,0.0
Patron,Patron,EnFr,He is a loyal patron of the arts.,Il est un fidèle mécène des arts.,Il est un fidèle patron des arts.,Il est un fidèle mécène des arts.,C'est un fidèle mécène des arts.,mid,0.488923022434901,1.0,0.6431870218238024,0.1818181818181818,0.0,0.0909090909090909
Photograph,Photographe,EnFr,She took a beautiful photograph of the sunset.,Elle a pris une belle photo du coucher de soleil.,Elle a pris une belle photo du coucher du soleil.,Elle a pris une belle photo du coucher du soleil.,Elle a pris une belle photo du coucher du soleil.,mid,0.7825422900366437,0.7825422900366437,0.7825422900366437,0.0204081632653061,0.0204081632653061,0.0204081632653061
Proper,Propre,EnFr,It's important to use proper grammar.,Il est important d'utiliser une grammaire correcte.,Il est important d'utiliser une grammaire appropriée.,Il est important d'utiliser une grammaire correcte.,Il est important d'utiliser la grammaire appropriée.,end,0.8091067115702212,1.0,0.4347208719449914,0.1509433962264151,0.0,0.2115384615384615
Preservative,Préservatif,EnFr,This food contains no artificial preservatives.,Cet aliment ne contient pas de conservateurs artificiels.,Ces aliments ne contiennent pas de conservateurs artificiels.,Cet aliment ne contient aucun conservateur artificiel.,Cet aliment ne contient pas de conservateurs artificiels.,end,0.3655552228545123,0.3564026463354183,1.0,0.081967213114754,0.1228070175438596,0.0
Pub,Pub,EnFr,We went to a pub for some drinks.,Nous sommes allés boire un verre dans un bistrot.,Nous sommes allés dans un pub pour quelques boissons.,On est allés boire un verre dans un pub.,On est allés boire un verre dans un pub.,mid,5.072841446586652e-78,0.5873949094699213,0.5873949094699213,0.4716981132075472,0.3265306122448979,0.3265306122448979
Quit,Quitter,EnFr,She decided to quit smoking.,Elle a décidé d'arrêter de fumer.,Elle a décidé de cesser de fumer.,Elle a décidé d'arrêter de fumer.,Elle a décidé d'arrêter de fumer.,end,6.31399304153334e-78,1.0,1.0,0.1818181818181818,0.0,0.0
Rate,Rater,EnFr,Rate this movie on a scale of one to ten!,Notez ce film sur une échelle de un à dix !,Évaluez ce film sur une échelle de 1 à 10!,Évaluez ce film sur une échelle de 1 à 10 !,Évaluez ce film sur une échelle de un à dix!,start,0.4861555413051454,0.4961683000340363,0.68752775993657,0.2558139534883721,0.2325581395348837,0.1363636363636363
Regard,Regarder,EnFr,I regard him as a close friend.,Je le considère comme un ami proche.,Je le considère comme un ami proche.,Je le considère comme un ami proche.,Je le considère comme un ami proche.,start,1.0,1.0,1.0,0.0,0.0,0.0
Relieve,Relever,EnFr,The medicine will relieve your pain.,Le médicament soulagera votre douleur.,Le médicament atténuera votre douleur.,Le médicament va soulager votre douleur.,Le médicament soulagera votre douleur.,end,1.1862800137389335e-154,1.0719249972567852e-154,1.0,0.1578947368421052,0.1,0.0
Rest,Rester,EnFr,You should get some rest after the long trip.,Vous devriez vous reposer après ce long voyage.,Vous devriez prendre un moment de repos après le long voyage.,Tu devrais te reposer après le long voyage.,Vous devriez vous reposer après le long voyage.,mid,8.190757052088229e-155,9.170599044431423e-155,0.5946035575013605,0.360655737704918,0.2340425531914893,0.0212765957446808
Retire,Retirer,EnFr,He plans to retire at the age of 65.,Il prévoit de prendre sa retraite à l'âge de 65 ans.,Il prévoit prendre sa retraite à l'âge de 65 ans.,Il prévoit de prendre sa retraite à l'âge de 65 ans.,Il prévoit prendre sa retraite à l'âge de 65 ans.,mid,0.7516501147964686,1.0,0.7516501147964686,0.0576923076923076,0.0,0.0576923076923076
Resume,Résumer,EnFr,She updated her resume before applying for the job.,Elle a mis à jour son CV avant de postuler à l'emploi.,Elle a mis à jour son curriculum vitæ avant de présenter sa candidature.,Elle a mis à jour son CV avant de postuler pour le travail.,Elle a mis à jour son curriculum vitae avant de postuler au poste.,mid,0.4280320606750594,0.7361703354503866,0.4844273237963863,0.4583333333333333,0.2033898305084746,0.3939393939393939
Sale,Sale,EnFr,There is a big sale at the mall this weekend.,Il y a une grande vente au centre commercial ce week-end.,Il y a une grande vente au centre-ville ce week-end.,Il y a une grande vente au centre commercial ce week-end.,Il y a une grosse vente au centre commercial ce week-end.,mid,0.6398166741645538,1.0,0.7016879391277372,0.175438596491228,0.0,0.0526315789473684
Sensible,Sensible,EnFr,She made a sensible decision to save money.,Elle a pris la décision raisonnable d'économiser de l'argent.,Elle a pris une décision judicieuse pour économiser de l'argent.,Elle a pris une décision sage pour économiser de l'argent.,Elle a pris une décision raisonnable pour économiser de l'argent.,mid,4.8564744698390705e-78,4.8564744698390705e-78,5.423660437707094e-78,0.28125,0.2459016393442623,0.123076923076923
Slip,Slip,EnFr,Be careful not to slip on the wet floor.,Attention à ne pas glisser sur le sol mouillé.,Soyez prudent de ne pas glisser sur le plancher humide.,Attention à ne pas glisser sur le sol mouillé.,Faites attention de ne pas glisser sur le sol mouillé.,mid,0.392814650900513,1.0,0.6389431042462724,0.4909090909090909,0.0,0.1851851851851851
Store,Store,EnFr,We need to go to the store to buy groceries.,Nous devons aller au magasin pour faire des courses.,Nous devons aller au magasin pour acheter des produits de base.,On doit aller à l'épicerie acheter de l'épicerie.,On doit aller au magasin pour acheter des courses.,end,0.4798782066690663,9.55980462367717e-232,0.3549481056010053,0.2698412698412698,0.7115384615384616,0.2692307692307692
Supply,Supplier,EnFr,We need to supply the team with more resources.,Nous devons fournir plus de ressources à l'équipe.,Nous devons fournir plus de ressources à l'équipe.,Nous devons fournir à l'équipe plus de ressources.,Nous devons fournir à l'équipe plus de ressources.,mid,1.0,5.8758326047878485e-78,5.8758326047878485e-78,0.0,0.44,0.44
Surname,Surnom,EnFr,Her surname is very common in her country.,Son nom de famille est très répandu dans son pays.,Son nom de famille est très commun dans son pays.,Son nom de famille est très courant dans son pays.,Son nom de famille est très courant dans son pays.,start,0.6580370064762462,0.6580370064762462,0.6580370064762462,0.14,0.12,0.12
Sympathetic,Sympathique,EnFr,She was very sympathetic to his situation.,Elle a été très compréhensive à l'égard de sa situation.,Elle était très sympathetique à sa situation.,Elle était très compréhensive de sa situation.,Elle était très sensible à sa situation.,mid,5.707897789452821e-155,4.3050004770504307e-78,5.707897789452821e-155,0.4285714285714285,0.2678571428571428,0.4464285714285714
Tissue,Tissu,EnFr,"Can you pass me a tissue, please?","Pouvez-vous me passer un mouchoir, s'il vous plaît ?","Pouvez-vous m'envoyer un tissu, si vous le souhaitez?","Vous pouvez me passer un mouchoir, s'il vous plaît ?","Peux-tu me passer un mouchoir, s'il te plaît ?",end,1.258141043412406e-231,0.7598356856515925,0.5133450480401704,0.490566037735849,0.173076923076923,0.2115384615384615
Tongs,Tongs,EnFr,"The meat is very hot, use the tongs.","La viande est très chaude, utilisez les pinces.","La viande est très chaude, utiliser les tongs.","La viande est très chaude, utilisez les pinces.","La viande est très chaude, utilisez les pinces.",end,0.5410822690539396,1.0,1.0,0.1063829787234042,0.0,0.0
Venue,Venue,EnFr,The venue for the concert is stunning.,Le lieu du concert est magnifique.,Le lieu du concert est magnifique.,Le lieu du concert est magnifique.,Le lieu du concert est magnifique.,mid,1.0,1.0,1.0,0.0,0.0,0.0
Vest,Veste,EnFr,He wore a vest over his shirt.,Il portait un gilet par-dessus sa chemise.,Il portait une veste sur sa chemise.,Il portait un gilet sur sa chemise.,Il portait un gilet sur sa chemise.,mid,9.85444998995587e-155,0.488923022434901,0.488923022434901,0.2857142857142857,0.1904761904761904,0.1904761904761904
Wagon,Wagon,EnFr,The wagon was filled with hay.,Le chariot est rempli de foin.,L'automobile était remplie de semence.,Le chariot était rempli de foin.,Le chariot était rempli de foin.,mid,9.974862690442709e-232,7.262123179505913e-78,7.262123179505913e-78,0.5526315789473685,0.125,0.125
Accommodate,Accomoder,FrEn,Veau accommodé en ragoût.,Veal stewed in a sauce.,Accommodation in August.,Stewed veal.,Veal consummated with stew.,mid,7.107197028258987e-232,0.0,1.0032743411283238e-231,0.7916666666666666,0.6521739130434783,0.5925925925925926
Account,Accompte,FrEn,L'acompte engage les deux parties.,The deposit is binding on both parties.,The invoice engages both parties.,The deposit is binding on both parties.,The down payment is binding on both parties.,start,6.222676699505816e-155,1.0,0.5410822690539396,0.4102564102564102,0.0,0.2045454545454545
Actually,Actuellement,FrEn,Il n'est pas actuellement en état de travailler.,He is currently in no condition to work.,He is currently unable to work.,He's not currently in a working condition.,He is currently in no position to work.,mid,5.203538639359665e-78,6.0405338612024166e-155,0.5946035575013605,0.35,0.5,0.075
Affair,Affaires,FrEn,"Il fait ce qu'il veut, c'est son affaire.","He does what he wants, it's his business.","He does what he wants, it's his business.","He does what he wants, it's his business.","He does what he wants, it's his business.",end,1.0,1.0,1.0,0.0,0.0,0.0
Agenda,Agenda,FrEn,Pourriez-vous m'aider? J'ai oublié mon agenda.,Could you help me? I forgot my diary.,Can you help me? I forgot my agenda.,Could you help me? I forgot my calendar.,Could you help me? I forgot my calendar.,end,0.6803749333171202,0.8408964152537145,0.8408964152537145,0.2702702702702703,0.175,0.175
Arm,Arme,FrEn,Les armes atomiques sont devenues trop dangereuses. ,Atomic weapons have become too dangerous. ,Atomic weapons have become too dangerous.,Nuclear weapons have become too dangerous.,Atomic weapons have become too dangerous.,start,1.0,0.7598356856515925,1.0,0.0238095238095238,0.1904761904761904,0.0238095238095238
Assist,Assister,FrEn,"Viens avec moi, je vais assister à un match de boxe.","Come with me, I'm going to a boxing match.","Come with me, I'm going to watch a boxing match.","Come with me, I'm going to a boxing match.","Come with me, I'm going to a boxing game.",mid,0.6580370064762462,1.0,0.8633400213704505,0.125,0.0,0.0952380952380952
Attend,Attendre,FrEn,Attendez votre ami à la gare.,Wait for your friend at the station.,Call your friend at the station.,Wait for your friend at the station.,Wait for your friend at the station.,start,0.6431870218238024,1.0,1.0,0.1944444444444444,0.0,0.0
Advertisement,Avertissement,FrEn,Il est parti sans le moindre avertissement.,He left without the slightest warning.,He left without any warning.,He left without a word of warning.,He left without any warning.,end,6.0424337246431435e-78,5.395774370246974e-78,6.0424337246431435e-78,0.3421052631578947,0.3157894736842105,0.3421052631578947
Bless,Blesser,FrEn,Soyez attentifs! Ne blessez jamais personne avec un couteau.,Be careful! Never hurt anyone with a knife.,Be careful! Never injure anyone with a knife.,"Be careful, never hurt anyone with a knife.",Never hurt anyone with a knife.,mid,0.5,0.5410822690539396,0.7165313105737893,0.0888888888888888,0.0465116279069767,0.2790697674418604
Bra,Bras,FrEn,Le chirurgien a réparé le bras cassé du patient.,The surgeon fixed the patient's broken arm.,The surgeon repaired the missing arm of the patient.,The surgeon repaired the patient's broken arm.,The surgeon fixed the patient's broken arm.,end,6.7393716283177006e-155,0.488923022434901,1.0,0.5192307692307693,0.108695652173913,0.0
Car,Car,FrEn,Les touristes sont guidés vers leur car.,The tourists are guided to their coach.,Tourists are guided to their car.,Tourists are guided to their bus.,Tourists are guided to their bus.,end,0.4301250851313262,0.4301250851313262,0.4301250851313262,0.1794871794871795,0.2307692307692307,0.2307692307692307
Casserole,Casserole,FrEn,J'ai acheté une nouvelle casserole en cuivre.,I bought a new copper pan.,I bought a new copper stove.,I bought a new copper pot.,I bought a new copper pot.,end,0.7598356856515925,0.7598356856515925,0.7598356856515925,0.1785714285714285,0.0769230769230769,0.0769230769230769
Cave,Cave,FrEn,La cave de la maison est remplie de vin.,The house cellar is full of wine.,The cellar of the house is filled with wine.,The cellar of the house is full of wine.,The cellar in the house is full of wine.,start,1.646211035903463e-231,0.3432945239845196,0.3432945239845196,0.5454545454545454,0.425,0.425
Cent,Cent,FrEn,Il a dépensé cent euros pour ce livre.,He spent a hundred euros on this book.,He spent a hundred euros on this book.,He spent a hundred euros on this book.,He spent a hundred euros on this book.,mid,1.0,1.0,1.0,0.0,0.0,0.0
